text,label
"Rs 1,250.00 debited from your HDFC Bank A/c **4821 on 12-09-26 to VPA swiggy@icici. Avl Bal Rs 18,340.55. Not you? Call 18002586161",safe
"INR 25,000.00 credited to A/c XX9012 on 14-SEP-26 by NEFT from ACME PAYROLL. Avl bal INR 61,204.10 -ICICI Bank",safe
"Your a/c no. XXXXXXXX3321 is debited for Rs.349.00 on 02-09-2026 and credited to a/c XXXXXX7788 (UPI Ref no 624519823311). -SBI",safe
"Dear Customer, Rs.2,000 withdrawn at ATM on 20/09/26 from A/c XX5566. Balance Rs.7,450. -Kotak Bank",safe
"Your Axis Bank Credit Card XX4410 has been used for INR 899.00 at AMAZON on 21-09-26. Available limit INR 71,101.",safe
"482913 is the OTP for your transaction of Rs 1,999 at FLIPKART. Valid for 10 mins. Do not share this OTP with anyone. -HDFC Bank",safe
"Use OTP 739201 to log in to your Paytm account. Never share your OTP with anyone, including Paytm staff.",safe
"Your OTP for Aadhaar authentication is 551204. Valid for 10 minutes. -UIDAI",safe
"Dear customer, your Airtel bill of Rs 499 for 98XXXXXX21 is generated. Due date 05-10-26. Pay via the Airtel Thanks app.",safe
"Your Jio number has been recharged with Rs 299. Validity till 20-10-2026. Data 2GB/day.",safe
"Your order of 2 items from BigBasket is out for delivery and will reach you between 6-8 PM today.",safe
"Your Swiggy order is on the way! Track it in the app.",safe
"Shipment of your Flipkart order OD4312 is delayed by 1 day. New delivery date: 28 Sep.",safe
"Your IRCTC ticket PNR 4521367890 is confirmed. Train 12951, Coach B3, Seat 45. Happy journey!",safe
"Your appointment at Apollo Clinic is confirmed for 29-09-26 at 11:30 AM with Dr. Sharma.",safe
"Electricity bill for consumer no 110023456 is Rs 1,340, due on 10-10-26. Pay in the BESCOM app or at the office.",safe
"Your LIC premium of Rs 5,400 for policy 912345678 has been received. Thank you.",safe
"Your EMI of Rs 3,245 for loan XX8812 will be auto-debited on 05-10-26. Keep sufficient balance. -Bajaj Finance",safe
"Your Ola ride with Ramesh (KA 01 AB 1234) is arriving in 3 mins.",safe
"Your Uber receipt for Rs 212 is in the app.",safe
"Your package from Amazon was delivered. Rate your delivery experience in the app.",safe
"Dear student, your exam hall ticket is available on the university portal.",safe
"mom here, dinner at 8, dont be late",safe
"bro where are u? match starts in 10 min",safe
"Can you send me the notes from today's class?",safe
"Reached home safely. Will call you tomorrow.",safe
"Meeting moved to 3pm, same room.",safe
"Happy Diwali to you and your family!",safe
"Thanks for the lunch today, next one is on me",safe
"Your gas cylinder booking is confirmed. Delivery expected within 2 days. -Indane",safe
"Salary for Sep-26 of Rs 38,500.00 has been credited to your A/c XX7781. -Axis Bank",safe
"Your Myntra order has been delivered. Hope you love it!",safe
"Delivered: your Meesho package was handed over to you at 2:15 PM.",safe
"Your Blue Dart shipment 7788123 has been delivered to the security desk.",safe
"Flight 6E 2134 from BLR to DEL is on time. Boarding at gate 12 from 17:40. -IndiGo",safe
"Your bus ticket from Bangalore to Mysore is confirmed. The bus leaves at 7:30 AM from Majestic. -redBus",safe
"Payment of Rs 1,340 for BESCOM bill 110023456 was successful. Thank you. -PhonePe",safe
"You paid Rs 60 to Sharma Tea Stall via Google Pay. UPI ref 426811904412.",safe
"Rs 2,500 received from Rahul Verma in your Paytm Payments Bank account.",safe
"Your Airtel postpaid payment of Rs 649 has been received. Thank you for being with us.",safe
"Your DTH recharge of Rs 350 is successful. Your pack is active till 25-10-26. -Tata Play",safe
"Library reminder: the book Clean Code is due for return on 30-09-26.",safe
"Your cab is waiting at the pickup point. Driver: Suresh, car KA 05 MN 4321.",safe
"Your test results are ready. Collect them from the reception or view them in the app. -Metropolis Labs",safe
"Your PAN card application 88123 is under process. Track the status on the official NSDL website.",safe
"School will remain closed tomorrow due to heavy rain. -Principal",safe
"Your refund of Rs 499 for order 405-1234 has been processed and will reach your account in 3-5 days. -Amazon",safe
"Your Zepto order is packed and will be delivered in 10 minutes.",safe
"Water supply will be interrupted in your area on Sunday from 10 AM to 4 PM for maintenance. -BWSSB",safe
"Dear parent, the PTM is scheduled for Saturday at 10 AM.",safe
"Congratulations on completing 5 years with us! Thank you for banking with HDFC Bank.",safe
"Your FASTag has been debited Rs 85 at Electronic City toll plaza. Balance Rs 415.",safe
"Your credit card statement for Sep is ready. Total due Rs 12,450, minimum due Rs 620, due by 15-10-26.",safe
"Pls call me back when free",safe
"Reached office, will call at lunch",safe
"Have you eaten? Come down for dinner",safe
"Your Swiggy verification code is 4521. Do not share this code with anyone.",safe
"OTP to verify your mobile number on Zomato is 7812. It is valid for 5 minutes.",safe
"Dear customer, 903114 is your one time password for IRCTC login. Please do not share it with anyone.",safe
"G-552910 is your Google verification code.",safe
"Dear SBI customer, your YONO account will be blocked today. Update your PAN immediately: http://sbi-yono-kyc.co",scam
"Your HDFC NetBanking is suspended due to incomplete KYC. Click http://hdfc-kyc-verify.net to reactivate within 24 hrs",scam
"Dear Consumer, your electricity power will be disconnected tonight at 9:30 PM because your previous month bill was not updated. Please contact our electricity officer 98765 43210 immediately",scam
"Your parcel from India Post is on hold due to incomplete address. Update within 12 hours: http://indiapost-track.top",scam
